Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Fit type (product.metafields.shopify.fit-type),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Light source (product.metafields.shopify.light-source),Lighting features (product.metafields.shopify.lighting-features),Manufacturer type (product.metafields.shopify.manufacturer-type),Rim/Wheel design (product.metafields.shopify.rim-wheel-design),Vehicle frame/body features (product.metafields.shopify.vehicle-frame-body-features),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
valvetronic-titanium-exhaust-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/C8_Z06_Valvetronic_Exhaust_with_Tips_v1_Studio_Photo_1__87660.1674796245.webp?v=1775113095,2,"",,,,,,,,,,,,,,,,,,
forged-carbon-mirror-caps,BN Aero F Series M Style Forged Carbon Fiber Mirror Caps,"<p><span class=""a-text-bold"">Add some aggressive, yet sleek style to your F Chassis Car with the BN Aero M Style Forged Carbon Fiber Mirror Caps!</span></p>
<p><span class=""a-text-bold"">Featuring a Hand Laid Forged Carbon Fiber Exterior Finish, and an ABS Interior for proper fitment and ease installation.</span></p>
<p><span class=""a-text-bold"">Fitment:</span><span class=""a-text-bold""><br>Compatible with BMW 1 Series F20 F21 116i 118i 120i 125i 130i Hatchback 2012-2016<br>Compatible with BMW 2 Series F22 F23 218i 220i 228i m240i Coupe &amp; Convertible 2014-on<br>Compatible with BMW 3 Series F30 F31 320i 328i 330i 335i 340i Sedan &amp; Touring 2012-on<br>Compatible with BMW 4 Series F32 F33 F36 420i 428i 435i 440i Coupe &amp; Convertible &amp; Gran Coupe 2014-on<br>Compatible with BMW X Series X1 E84 2013-2015<br>Compatible with BMW M Series F87 M2 2014-on<br><br></span><span class=""a-text-bold"">Package Included:</span><span class=""a-text-bold""><br>1 x Pair Rearview Mirror Cover (Left &amp; Right)</span></p>",Redline Essentials,Uncategorized,Exterior Accessories,"Carbon Fiber, Exterior, Mirror Caps",true,Title,Default Title,,,,,,,,RE-MIR-006,800.0,shopify,24,deny,manual,18500.00,22000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/61yin4BpOzL.webp?v=1775104942,1,"",false,,,'1,,,,,,,,,,,kg,,,active
forged-carbon-mirror-caps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/61_AOUcdxDL.webp?v=1775104999,2,"",,,,,,,,,,,,,,,,,,
forged-carbon-mirror-caps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/IMG_3875.webp?v=1775105069,3,"",,,,,,,,,,,,,,,,,,
dynamic-rgb-sequential-led-tail-lights,TT-ABC RGB Led Tail Light For 11th Gen Honda Civic 2022-2026 Sequential LED Rear Lamp,"<p><strong>Sequential Rear Lamps with App-Controlled Color Modes – Plug &amp; Play Installation</strong></p>
<p><strong>Upgrade your 11th Gen Honda Civic (2022–2026)</strong><span> </span>with TT-ABC's RGB LED Tail Lights – a striking fusion of modern design, advanced lighting technology, and road-ready durability. These tail lights enhance both the style and safety of your Civic while ensuring a perfect OEM fitment.</p>
<p><strong>Compatibility:</strong></p>
<p>Fits the 2022 Honda Civic Sedan Si/Si HPT Model<br>Fits the 2023-2024 Honda Civic Sedan LX/Sport/EX/Touring Model<br>Fits the 2025-2026 Honda Civic Sedan LX/Sport/Sport Hybrid/Sport Touring Hybrid Model</p>
<p>Advanced LED upgrades seamlessly replace your original taillights.</p>
<h3>Key Features</h3>
<ul>
<li>
<p><strong>OEM Fitment &amp; Compatibility</strong><br>Designed specifically for the 2022–2026 Honda Civic (11th Gen), including all sedan trims. These tail lights offer direct plug-and-play installation with no splicing or modifications required. Fully integrates with the factory wiring and mounts.</p>
</li>
<li>
<p><strong>RGB Multi-Color Functionality</strong><br>Customize your tail lights with a full spectrum of RGB colors via a smartphone app or included controller. Choose from a variety of static colors, dynamic modes, and light shows to suit your mood or occasion.</p>
</li>
<li>
<p><strong>Sequential LED Turn Signals</strong><br>Features animated sequential turn indicators for a sleek, modern look and enhanced signaling visibility to other drivers.</p>
</li>
<li>
<p><strong>Dynamic Start-Up Animation &amp; Running Light</strong><br>Eye-catching animation plays when the vehicle starts, while breathing running lights add a touch of elegance on the road or at rest.</p>
</li>
<li>
<p><strong>Premium Construction</strong><br>Built with UV-resistant polycarbonate lenses and a tough ABS housing. Rated<span> </span><strong>IP67 waterproof and dustproof</strong><span> </span>– ready to withstand all weather conditions.</p>
</li>
<li>
<p><strong>DOT/SAE Certified – Fully Street Legal</strong><br>Meets or exceeds U.S. DOT &amp; SAE standards, ensuring your new tail lights are safe and road-compliant.</p>
</li>
<li>
<p><strong>Warranty &amp; Support</strong><br>Includes a 1-year manufacturer’s warranty and responsive customer service. We stand by the quality of our product—contact us anytime with questions or issues.</p>
</li>
</ul>
<h3>What’s in the Box</h3>
<ul>
<li>
<p>1 Pair of RGB LED Tail Lights (Driver + Passenger side)</p>
</li>
<li>
<p>Controller for RGB settings (if applicable)</p>
</li>
<li>
<p>Installation Guide</p>
</li>
</ul>
<h3>Lighting Functions</h3>
<ul>
<li>
<p>Brake Light</p>
</li>
<li>
<p>Running Light</p>
</li>
<li>
<p>Reverse Light</p>
</li>
<li>
<p>Sequential Turn Signal</p>
</li>
<li>
<p>RGB Customizable Light Modes</p>
</li>
<li>
<p>Dynamic Startup Animation</p>
</li>
</ul>
<p>Give your Honda Civic a premium rear-end makeover with the<span> </span><strong>TT-ABC RGB LED Tail Light Assembly</strong><span> </span>– a perfect blend of tech, style, and performance.</p>",Redline Essentials,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Lighting,Lighting,"Exterior, LED, Lighting",true,Title,Default Title,,,,,,,,RE-TL-005,5500.0,shopify,12,deny,manual,52000.00,65000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/11_9c728b6e-a258-4ebf-b083-a706fd875dcd.webp?v=1775042473,1,"",false,,,,,,,,,,,,,,kg,,,active
dynamic-rgb-sequential-led-tail-lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/RGB-Led-Tail-Light-For-11th-Gen-Honda-Civic-2022-2023-2024-Sequential-LED-Rear-Lamp-Honda-4.webp?v=1775042473,2,"",,,,,,,,,,,,,,,,,,
dynamic-rgb-sequential-led-tail-lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/RGB-Led-Tail-Light-For-11th-Gen-Honda-Civic-2022-2023-2024-Sequential-LED-Rear-Lamp-Honda-8.webp?v=1775042473,3,"",,,,,,,,,,,,,,,,,,
dynamic-rgb-sequential-led-tail-lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/RGB-Led-Tail-Light-For-11th-Gen-Honda-Civic-2022-2023-2024-Sequential-LED-Rear-Lamp-Honda-9.webp?v=1775042473,4,"",,,,,,,,,,,,,,,,,,
premium-ceramic-coating-detailing-kit,Redline Premium Ceramic Coating Detailing Kit,"<p>Protect your high-end modifications with our professional-grade ceramic coating kit. Provides up to 2 years of hydrophobic protection, deep gloss, and scratch resistance.</p><ul>
<li>9H Hardness rating</li>
<li>Extreme hydrophobic properties</li>
<li>Includes applicator and microfiber towels</li>
<li>UV and chemical resistance</li>
</ul>",Redline Essentials,Uncategorized,Car Care,"Detailing, Exterior, Protection",true,Title,Default Title,,,,,,,,RE-CER-004,1200.0,shopify,50,deny,manual,8500.00,12000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/3m-ceramic-coating-39901.avif?v=1775042579,1,"",false,,,,,,,,,,,,,,kg,,,active
alcantara-carbon-steering-wheel,Audi R8/TT Style Customizable Steering Wheel (Fits 2010+ All Models),"<h2>Description</h2>
<p>The<span> </span><strong>Audi R8 / TT Style Customizable Steering Wheel</strong><span> </span>by<span> </span><strong>Carbon City Customs</strong><span> </span>is a premium interior upgrade engineered to bring the iconic R8 / TT steering wheel layout to modern Audi platforms. Designed using<span> </span><strong>advanced 3D modelling</strong><span> </span>and meticulously handcrafted, this steering wheel delivers a bold OEM+ appearance with enhanced grip, comfort, and driver-focused functionality—while retaining factory usability where applicable.</p>
<p>Each steering wheel is<span> </span><strong>handcrafted to order</strong><span> </span>using globally sourced premium materials and tailored to your selected button configuration, ensuring a refined finish that elevates interior presence without compromising Audi’s original design language.</p>
<h3>Materials &amp; Craftsmanship</h3>
<ul>
<li>
<strong>Carbon fibre sourced from Japan &amp; Taiwan</strong><span> </span>for superior strength, consistency, and surface finish</li>
<li>
<strong>Italian-sourced leather</strong><span> </span>selected for luxury feel, durability, and long-term wear</li>
<li>
<strong>Advanced 3D modelling</strong><span> </span>for precise fitment and OEM-correct ergonomics</li>
<li>
<strong>Hand stitching</strong><span> </span>applied by skilled craftsmen for a tailored, premium finish</li>
<li>
<strong>Environmentally conscious production processes</strong><span> </span>implemented where possible</li>
<li>
<strong>Secure protective packaging</strong><span> </span>to safeguard premium materials during transport</li>
<li>
<strong>Handcrafted construction</strong><span> </span>with strict quality control standards</li>
</ul>",Redline Essentials,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Controls > Steering Wheels,Interior Accessories,"Carbon Fiber, Interior, Steering Wheel",true,Title,Default Title,,,,,,,,RE-STW-003,3500.0,shopify,8,deny,manual,105000.00,200089.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/Audi-R8-Custom-Steering-Wheel2.webp?v=1775042819,1,"",false,,,,,,,,,,,,,,kg,,,active
alcantara-carbon-steering-wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/Audi-R8-Custom-Steering-Wheel1.webp?v=1775103890,2,"",,,,,,,,,,,,,,,,,,
brabus-style-quad-exhaust-tips-matte-black,BSV1 Black Steel Exhaust Tips Compatible With Mercedes,"<h1 class=""a-size-base-plus a-text-bold"">About this item</h1>
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">Material: Muffler heads are made of black coated stainless steel.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Decoration Using: This product is an optimization of your car's exhaust system, and it has a good improvement in performance and aesthetics.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Stylish Design: Giving the vehicle a stylish appearance not only decorates the vehicle, but also effectively provides protection for the exhaust pipe from dust, rain and wind sand and prevents deformation.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Easy to Install: No need to cut and weld, just install the intake exhaust tailpipe to the car exhaust pipe and then tighten the fixing clamp device.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Daily Maintenance: In order to make this exhaust tip have a long service life. Please sweep welding debris, cement, oil, white ash, putty, sand and grey regularly to keep the surface clean. We recommend doing the above once a month.</span></li>
</ul>",Redline Essentials,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Exhaust,Exhaust Parts,"Exhaust, Exterior, Performance",true,Title,Default Title,,,,,,,,RE-EXH-002,4000.0,shopify,20,deny,manual,28500.00,35000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/mercedes-benz-e63-facelift-w212-brabus-850-style-carbon-fibre-body-kit-twenty-two-tuning-1144873926.webp?v=1775044066,1,"",false,,,,,,,,,,,,,,kg,,,active
brabus-style-quad-exhaust-tips-matte-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/mercedes-benz-brabus-style-black-steel-exhaust-tips-twenty-two-tuning-1144875557.webp?v=1775044066,2,"",,,,,,,,,,,,,,,,,,
brabus-style-quad-exhaust-tips-matte-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/mercedes-benz-c63-w205-brabus-style-carbon-fibre-kit-twenty-two-tuning-1144872611.webp?v=1775044066,3,"",,,,,,,,,,,,,,,,,,
mansory-style-carbon-fiber-rear-spoiler,Genuine BMW M Performance Carbon Flow-Through Rear Spoiler - G80 M3 | G82 M4,"<ul>
<li><a href=""https://autotecknic.com/products/bmw-m-performance-g8x-m3-m4-carbon-flow-through-rear-spoiler#tabs-1"">Product Description</a></li>
</ul>
<div id=""tabs-1"">
<div class=""product-single__description rte"" id=""pro_desc"" itemprop=""description"">
<p>The high-tech material carbon is characterized by a high degree of rigidity and stiffness whilst being extremely light. Consequently, carbon fiber reinforced plastic is used above all in many motorsport areas, where visible carbon components fascinate with the mesh structure that is so characteristic of this material. Not least, for this reason, M Performance exterior components exude a high degree of motorsport atmosphere – and are perfectly suitable for effectively sharpening the sporty looks of the latest BMW icons. The distinctive M Performance carbon rear spoiler adds the perfect finishing touch while optimizing aerodynamics.</p>
<p><b><strong>Product Details:</strong></b></p>
<ul>
<li>It fits G8X M3 / M4 and G2X 3 / 4-Series</li>
<li>
<strong>Optional:</strong><span> </span>Wing Mounting Hardware</li>
<li>
<b>Optional:</b><span> </span>Ceramic Pro 9H Permanent Bond Nanoceramic Protective Coating - 2 layers are pre-applied before shipping</li>
</ul>
<p>Ceramic Pro 9H forms a permanent bond with the surface and will not wash off or break down. It is a highly durable protective coating that protects your vehicle's paintwork or any other surface from damaging contaminants. The unique formula of Ceramic Pro 9H allows it to be applied in multiple layers, which means the thickness of the coating can be increased with additional layers, allowing a thicker/harder coating with improved scratch resistance.<br><br><br><b>* This item is non-returnable *</b></p>
</div>
</div>",Redline Essentials,Uncategorized,Exterior Accessories,"Carbon Fiber, Exterior, Performance, Spoiler",true,Title,Default Title,,,,,,,,RE-SPOIL-001,2500.0,shopify,15,deny,manual,306565.36,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/G8XCarbonWing_1024x1024_ffd3d290-5968-4bf7-88a6-f047630d20d2.jpg?v=1775044950,1,"",false,,,'1,,,,,,,,,,,kg,,,active
mansory-style-carbon-fiber-rear-spoiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/G8XCarbonRear_1024x1024_900x_45a72a63-1e93-4810-91ee-1423653badf1.webp?v=1775044950,2,"",,,,,,,,,,,,,,,,,,
genuine-bmw-825m-alloy-wheels-diamond-cut-for-bmw-g80-m3-g82-m4-g87-m2,"Genuine BMW 825M Alloy Wheels Diamond Cut For BMW G80 M3, G82 M4 & G87 M2","<p>Genuine BMW 825M forged alloy wheels in Jet Black with a diamond cut finish. These alloy wheels are a staggered setup with 19"" at the front and 20"" at the rear. Please see the sizing information below.</p>
<h3><span>Wheel Specifications</span></h3>
<ul>
<li><span>Genuine BMW 825M alloy wheels</span></li>
<li><span>Forged</span></li>
<li><span>Staggered setup</span></li>
<li><span>Front size: 9.5Jx19 ET20</span></li>
<li><span>Rear size: 10.5Jx20 ET20</span></li>
<li><span>Finished OEM Jet Black</span></li>
<li><span>Diamond cut finish</span></li>
</ul>
<h3><span>Compatible Vehicles</span></h3>
<ul>
<li><span>BMW G80 M3 Saloon (2021+)</span></li>
<li><span>BMW G80 M3 Competition Saloon (2021+)</span></li>
<li><span>BMW G81 M3 Touring (2023+)</span></li>
<li><span>BMW G81 M3 Competition Touring (2023+)</span></li>
<li><span>BMW G82 M4 Coupe (2021+)</span></li>
<li><span>BMW G82 M4 Competition Coupe (2021+)</span></li>
<li><span>BMW G83 M4 Convertible (2021+)</span></li>
<li><span>BMW G83 M4 Competition Convertible (2021+)</span></li>
<li><span>BMW G87 M2 Coupe (2023+)</span></li>
</ul>",Redline Essentials,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Wheel Systems > Motor Vehicle Rims & Wheels > Automotive Rims & Wheels,Alloy,"",true,Title,Default Title,,,,,,,,,11000.0,shopify,1000,deny,manual,108083.65,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0810/1311/3071/files/Screenshot2026-04-01160433.png?v=1775039739,1,"",false,,,,geometric; silver,,new,aluminum,,,genuine; oem,forged; alloy,,,kg,,,active
genuine-bmw-825m-alloy-wheels-diamond-cut-for-bmw-g80-m3-g82-m4-g87-m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/Screenshot2026-04-01160455.png?v=1775039739,2,"",,,,,,,,,,,,,,,,,,
genuine-bmw-826m-alloy-wheels-in-jet-black-for-bmw-g80-m3-g82-m4-g87-m2,"Genuine BMW 826M Alloy Wheels In Jet Black For BMW G80 M3, G82 M4 & G87 M2","<p>Genuine BMW 826M alloy wheels finished in jet black. These alloy wheels are a staggered setup with 19"" at the front and 20"" at the rear. Please see the sizing information below.</p>
<h3><span>Wheel Specifications</span></h3>
<ul>
<li><span>Genuine BMW 826M alloy wheels</span></li>
<li><span>Front size: 9.5Jx19 ET20</span></li>
<li><span>Rear size: 10.5Jx20 ET20</span></li>
<li><span>Staggered setup</span></li>
<li><span>Finished In OEM Jet Black</span></li>
</ul>
<h3><span>Compatible Vehicles</span></h3>
<ul>
<li><span>BMW G80 M3 Saloon (2021+)</span></li>
<li><span>BMW G80 M3 Competition Saloon (2021+)</span></li>
<li><span>BMW G81 M3 Touring (2023+)</span></li>
<li><span>BMW G81 M3 Competition Touring (2023+)</span></li>
<li><span>BMW G82 M4 Coupe (2021+)</span></li>
<li><span>BMW G82 M4 Competition Coupe (2021+)</span></li>
<li><span>BMW G83 M4 Convertible (2021+)</span></li>
<li><span>BMW G83 M4 Competition Convertible (2021+)</span></li>
<li><span>BMW G87 M2 Coupe (2023+)</span></li>
</ul>",Redline Essentials,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Wheel Systems > Motor Vehicle Rims & Wheels > Automotive Rims & Wheels,Alloy,"",true,Title,Default Title,,,,,,,,,11000.0,shopify,1000,deny,manual,68145.88,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0810/1311/3071/files/Screenshot2026-04-01155514.png?v=1775039141,1,"",false,,,,black,,new,aluminum,,,genuine; oem,alloy,,,kg,,,active
genuine-bmw-826m-alloy-wheels-in-jet-black-for-bmw-g80-m3-g82-m4-g87-m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/Screenshot_2026-04-01_155602.png?v=1775039181,2,"",,,,,,,,,,,,,,,,,,
new-ngk-iridium-ix-spark-plug-set-high-performance-ignition-coils,New NGK Iridium IX Spark Plug Set & High Performance Ignition Coils,"<div class=""a-column a-span6"">
<div class=""a-row a-spacing-base"">
<div class=""a-row a-expander-container a-expander-extend-container"">
<div class=""a-row"">
<div class=""a-column a-span6"">
<h1 class=""a-size-medium a-spacing-small"">Technical Details</h1>
</div>
</div>
<div data-expanded=""true"" class=""a-expander-content a-expander-extend-content"">
<div class=""a-row a-expander-container a-expander-inline-container"">
<div data-expanded=""true"" class=""a-expander-content a-expander-section-content a-section-expander-inner"">
<table id=""productDetails_techSpec_section_1"" class=""a-keyvalue prodDetTable"">
<tbody>
<tr>
<th class=""a-color-secondary a-size-base prodDetSectionEntry"">Manufacturer</th>
<td class=""a-size-base prodDetAttrValue"">‎nissan</td>
</tr>
<tr>
<th class=""a-color-secondary a-size-base prodDetSectionEntry"">Brand</th>
<td class=""a-size-base prodDetAttrValue"">‎AD Auto Parts</td>
</tr>
<tr>
<th class=""a-color-secondary a-size-base prodDetSectionEntry"">Package Dimensions</th>
<td class=""a-size-base prodDetAttrValue"">‎37.47 x 29.85 x 1.27 cm; 2.27 kg</td>
</tr>
<tr>
<th class=""a-color-secondary a-size-base prodDetSectionEntry"">Item part number</th>
<td class=""a-size-base prodDetAttrValue"">‎UF156-3+5464-6</td>
</tr>
<tr>
<th class=""a-color-secondary a-size-base prodDetSectionEntry"">Manufacturer Part Number</th>
<td class=""a-size-base prodDetAttrValue"">‎UF156-3+5464-6</td>
</tr>
<tr>
<th class=""a-color-secondary a-size-base prodDetSectionEntry"">Size</th>
<td class=""a-size-base prodDetAttrValue"">‎medium</td>
</tr>
<tr>
<th class=""a-color-secondary a-size-base prodDetSectionEntry"">Manufacturer</th>
<td class=""a-size-base prodDetAttrValue"">‎nissan</td>
</tr>
<tr>
<th class=""a-color-secondary a-size-base prodDetSectionEntry"">Item Weight</th>
<td class=""a-size-base prodDetAttrValue"">‎2 kg 270 g</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>
<div class=""a-row a-spacing-base""><br></div>
</div>
<div class=""a-column a-span6 a-span-last"">
<div class=""a-row a-spacing-base"">
<div id=""productDetails_db_sections"" class=""a-section"">
<h1 class=""a-size-medium a-spacing-small secHeader"">Additional Information</h1>
<div class=""a-section table-padding"">
<table id=""productDetails_detailBullets_sections1"" class=""a-keyvalue prodDetTable"">
<tbody>
<tr>
<th class=""a-color-secondary a-size-base prodDetSectionEntry"">ASIN</th>
<td class=""a-size-base prodDetAttrValue"">B075LXXJC3</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>",Redline Essentials,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Engine Parts > Ignition Components > Ignition Coils,Spark plugs,"",true,Title,Default Title,,,,,,,,,2270.0,shopify,10000,deny,manual,12000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0810/1311/3071/files/61juG4CgxML._SY355.jpg?v=1775038616,1,"",false,,,,,,new,,,,genuine,,,,kg,,,active
